t_s,ee_z,tip_depth_mm,fz_n,fmag_n
0.0044,0.79651,35.00,0.4957,1.6845
0.0144,0.79651,35.01,-0.0133,1.3846
0.0243,0.79648,35.03,-0.0133,1.3846
0.0376,0.79644,35.08,1.4937,2.5473
0.0472,0.79635,35.16,1.4937,2.5473
0.0558,0.79623,35.29,0.2107,1.7730
0.0650,0.79605,35.46,0.2107,1.7730
0.0748,0.79583,35.68,0.2417,0.6348
0.0846,0.79555,35.96,0.2417,0.6348
0.0955,0.79521,36.31,0.1087,0.9339
0.1049,0.79481,36.71,0.1087,0.9339
0.1149,0.79435,37.16,0.1087,0.9339
0.1249,0.79383,37.68,-0.0913,1.3449
0.1367,0.79325,38.26,-0.1343,1.1301
0.1457,0.79263,38.89,-0.1343,1.1301
0.1553,0.79195,39.56,-0.2883,0.8100
0.1651,0.79124,40.28,-0.2883,0.8100
0.1761,0.79048,41.03,-0.3673,0.6397
0.1857,0.78971,41.81,-0.3673,0.6397
0.1958,0.78891,42.60,-0.8003,0.9505
0.2062,0.78811,43.40,-0.8003,0.9505
0.2165,0.78731,44.20,-0.8003,0.9505
0.2274,0.78651,45.00,0.3287,0.6441
0.2395,0.78571,45.80,-0.2813,1.0647
0.2461,0.78491,46.60,-0.2813,1.0647
0.2603,0.78411,47.40,-0.1253,0.9304
0.2650,0.78331,48.20,-0.1253,0.9304
0.2747,0.78251,49.00,0.1067,0.2477
0.2845,0.78171,49.80,0.1067,0.2477
0.2952,0.78091,50.60,-0.5463,0.7358
0.3050,0.78011,51.40,-0.5463,0.7358
0.3153,0.77931,52.20,-0.0133,0.6555
0.3254,0.77851,53.00,-0.0133,0.6555
0.3386,0.77771,53.80,0.0757,0.7644
0.3449,0.77691,54.60,0.0757,0.7644
0.3546,0.77611,55.40,0.0757,0.7644
0.3651,0.77531,56.20,0.3727,0.3776
0.3749,0.77451,57.00,-0.1253,0.1899
0.3854,0.77371,57.80,-0.1253,0.1899
0.3949,0.77291,58.60,0.1367,0.5853
0.4054,0.77211,59.40,0.1367,0.5853
0.4152,0.77131,60.20,-0.1243,0.8450
0.4255,0.77051,61.00,-0.1243,0.8450
0.4366,0.76971,61.80,0.1387,0.2674
0.4487,0.76891,62.60,0.1387,0.2674
0.4562,0.76811,63.40,0.0307,1.3363
0.4650,0.76731,64.20,0.0307,1.3363
0.4761,0.76651,65.00,0.0307,1.3363
0.4847,0.76571,65.80,0.4857,0.9499
0.4953,0.76491,66.60,-0.1623,0.2496
0.5050,0.76411,67.40,-0.1623,0.2496
0.5191,0.76331,68.20,0.5167,0.6791
0.5272,0.76251,69.00,0.5167,0.6791
0.5361,0.76171,69.80,-0.1203,0.9749
0.5487,0.76091,70.60,-0.1203,0.9749
0.5543,0.76011,71.40,-0.4263,0.7379
0.5662,0.75931,72.20,-0.4263,0.7379
0.5747,0.75851,73.00,-0.0043,0.4805
0.5862,0.75771,73.80,-0.0043,0.4805
0.5943,0.75691,74.60,-0.0043,0.4805
0.6046,0.75611,75.40,0.3437,0.4893
0.6145,0.75531,76.20,0.7607,1.0831
0.6247,0.75451,77.00,0.7607,1.0831
0.6355,0.75371,77.80,-0.0373,0.8848
0.6461,0.75291,78.60,-0.0373,0.8848
0.6554,0.75211,79.40,0.3547,0.7467
0.6653,0.75131,80.20,0.3547,0.7467
0.6762,0.75051,81.00,-1.2983,1.3817
0.6853,0.74971,81.80,-1.2983,1.3817
0.6950,0.74891,82.60,-3.0873,3.8670
0.7053,0.74811,83.40,-3.0873,3.8670
0.7156,0.74731,84.20,-5.4443,7.1423
