time,event,station,label,layers,measured_m,predicted_m,resid_mm
11:22:23,det_yaw,source,case,3,179.6275,-0.3725,conf=0.95
11:22:23,det_box,source,case,3,276.2403,191.7381,ar=1.44
11:22:29,anchor,source,case,3,0.7656,,
11:22:39,contact_wrench,target,case,1,11.4080,,fx=+0.0;fy=+0.9;mx=-0.60;my=+0.01;mz=-0.077
11:22:39,contact_yaw,target,case,1,179.6842,179.6222,+0.06deg
11:22:39,recover_step,target,case,1,,,a1;corner;dyaw=+0.0deg;dxy=(-33.2/+38.4)mm;contact;z=-43.5mm;fx=+0.0;fy=+0.9;mz=n/a
11:22:39,anchor,target,case,1,0.7253,,
11:22:41,place_chk_x,target,case,1,0.8989,0.8313,+67.7
11:22:41,place_chk_y,target,case,1,0.0026,0.0107,-8.1
11:22:41,place_chk_yaw,target,case,1,4.3281,-0.3725,+4.70deg
11:22:44,plane,source,battery_1,3,0.6106,0.6414,-30.8
11:22:44,det_yaw,source,battery_1,3,0.2316,0.2316,conf=0.95
11:22:44,det_box,source,battery_1,3,299.3583,201.0774,ar=1.49
11:22:44,dual_x,source,battery_1,3,0.9024,0.8902,+12.2
11:22:44,dual_y,source,battery_1,3,0.0711,0.0679,+3.2
11:22:44,dual_yaw,source,battery_1,3,0.6798,0.6782,+0.00deg
11:22:44,depth_pick,source,battery_1,3,0.7758,0.7656,+10.2
11:22:53,anchor,source,battery_1,3,0.7675,,
11:22:55,plane,target,battery_1,1,0.5703,0.6138,-43.5
11:22:55,det_yaw,target,battery_1,1,6.1861,6.1861,conf=0.95
11:22:55,det_box,target,battery_1,1,331.8087,216.2236,ar=1.53
11:22:55,dual_x,target,battery_1,1,0.8993,0.8788,+20.6
11:22:55,dual_y,target,battery_1,1,0.1369,0.1311,+5.8
11:22:55,dual_yaw,target,battery_1,1,5.4543,7.5951,-2.14deg
11:23:18,contact_wrench,target,battery_1,1,6.3710,,fx=-3.8;fy=-1.5;mx=+0.07;my=-0.81;mz=+0.043
11:23:18,contact_yaw,target,battery_1,1,-173.2124,-173.2463,+0.03deg
11:23:18,recover_step,target,battery_1,1,,,a1;corner;dyaw=+0.0deg;dxy=(-3.6/+17.1)mm;contact;z=+7.6mm;fx=-4.7;fy=-0.2;mz=n/a
11:23:18,place_misseat,target,battery_1,1,0.7479,0.7403,+7.6
11:23:21,plane,source,battery_2,3,0.6106,0.6414,-30.8
11:23:23,det_yaw,source,battery_2,3,177.5938,-2.4062,conf=0.96
11:23:23,det_box,source,battery_2,3,301.2205,200.6810,ar=1.50
11:23:23,dual_x,source,battery_2,3,0.9048,0.8907,+14.1
11:23:23,dual_y,source,battery_2,3,-0.0308,-0.0270,-3.8
11:23:23,dual_yaw,source,battery_2,3,177.5791,177.9156,-0.34deg
11:23:23,depth_pick,source,battery_2,3,0.7744,0.7656,+8.8
11:23:29,anchor,source,battery_2,3,0.7656,,
11:23:31,plane,target,battery_2,1,0.5703,0.6138,-43.5
11:23:33,det_yaw,target,battery_2,1,2.5363,2.5363,conf=0.95
11:23:33,det_box,target,battery_2,1,322.8398,212.6121,ar=1.52
11:23:33,dual_x,target,battery_2,1,0.9089,0.8844,+24.4
11:23:33,dual_y,target,battery_2,1,-0.0647,-0.0589,-5.8
11:23:33,dual_yaw,target,battery_2,1,2.6166,3.1960,-0.58deg
11:23:42,contact_wrench,target,battery_2,1,5.8790,,fx=-4.6;fy=+1.0;mx=-0.59;my=-0.87;mz=-0.253
11:23:42,contact_yaw,target,battery_2,1,-176.9014,-176.8960,-0.01deg
11:23:42,recover_step,target,battery_2,1,,,a1;corner;dyaw=+0.0deg;dxy=(-37.2/+26.4)mm;contact;z=+4.0mm;fx=-6.0;fy=+4.6;mz=n/a
11:23:42,anchor,target,battery_2,1,0.7442,,
11:23:45,plane,source,case,2,0.5968,0.6276,-30.8
11:23:45,det_yaw,source,case,2,176.1651,-3.8349,conf=0.96
11:23:45,det_box,source,case,2,304.1321,204.8386,ar=1.48
11:23:45,dual_x,source,case,2,0.9130,0.8977,+15.3
11:23:45,dual_y,source,case,2,-0.0965,-0.0887,-7.9
11:23:45,dual_yaw,source,case,2,176.2358,176.5651,-0.33deg
11:23:52,pitch,source,case,2,0.0126,0.0138,-1.2
11:23:52,contact,source,case,2,0.7530,0.7518,+1.2
11:23:54,plane,target,case,2,0.5841,0.6276,-43.5
11:23:54,det_yaw,target,case,2,1.6630,1.6630,conf=0.95
11:23:54,det_box,target,case,2,315.1037,208.9326,ar=1.51
11:23:54,dual_x,target,case,2,0.8938,0.8740,+19.7
11:23:54,dual_y,target,case,2,-0.0687,-0.0632,-5.5
11:23:54,dual_yaw,target,case,2,1.5354,2.1174,-0.58deg
11:24:03,contact_wrench,target,case,2,12.2000,,fx=+7.5;fy=-6.3;mx=+0.62;my=+1.68;mz=+0.087
11:24:03,contact_yaw,target,case,2,-178.2129,-178.3423,+0.13deg
